authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,TypesOfFeature,continent,country,hasConnectionsWith,connectsWith,DeltaAge,noOfFeaturesBuiltByHuman,natureFeatures
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-2.04839, 38.447444, -2.04839, 38.447444",2011-03-10T00:07:15Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-2.04839, 38.447444]}",darmc-location-20247,precise,representative,300,-330,2012-02-14T22:51:06Z,/places/265890/darmc-location-20247,265890,38.447444,"38.447444,-2.04839",-2.04839,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 20247,8d11bfab595aca67cc34e3385e34c19c,Landform,Africa,Morocco,,,400,166,72
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-1.698809, 37.671353, -1.698809, 37.671353",2011-03-10T00:07:20Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-1.698809, 37.671353]}",darmc-location-20249,precise,representative,640,-330,2012-02-14T22:51:06Z,/places/265891/darmc-location-20249,265891,37.671353,"37.671353,-1.698809",-1.698809,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 20249,9d83c8725b1194f789acff3345cfa0b6,Landform,Africa,Morocco,,,400,166,72
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.381896, 38.026033, -4.381896, 38.026033",2011-03-10T00:07:36Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.381896, 38.026033]}",darmc-location-20255,precise,representative,640,-330,2012-02-14T22:51:07Z,/places/265893/darmc-location-20255,265893,38.026033,"38.026033,-4.381896",-4.381896,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 20255,c3c8744ef2d5961dab56bbaa0c08d4e9,Water Source,Unlocated,Unlocated,,,400,,
"Becker, J.","0.1354228, 40.0787678, 0.1354228, 40.0787678",2015-08-08T22:51:18Z,jbecker,2,Location based on OpenStreetMap,settlement,"{""type"": ""Point"", ""coordinates"": [0.1354228, 40.0787678]}",osm-location,precise,representative,300,-330,2018-07-17T19:14:45Z,/places/265894/osm-location,265894,40.0787678,"40.0787678,0.1354228",0.1354228,H,hellenistic-roman-early-empire,"-330.0,300.0",OSM location,e7dc141cd3dc572f3551491bebf68fc2,Landform,Unlocated,Unlocated,,,400,,
"Becker, J.","-3.9576942, 36.7266472, -3.9576942, 36.7266472",2013-11-28T20:03:15Z,jbecker,1,Location based on OpenStreetMap,"villa,","{""type"": ""Point"", ""coordinates"": [-3.9576942, 36.7266472]}",osm-location-of-roman-villa,precise,representative,300,-30,2013-11-28T20:04:01Z,/places/265896/osm-location-of-roman-villa,265896,36.7266472,"36.7266472,-3.9576942",-3.9576942,R,roman,"-30.0,300.0",OSM location of Roman villa,d9716551755de17daa0e42479337558e,Landform,Africa,Algeria,,,400,166,72
"Becker, J., T. Elliott","0.2303287, 38.7335902, 0.2303287, 38.7335902",2014-04-27T17:36:38Z,jbecker,2,Representative location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [0.2303287, 38.7335902]}",osm-location,precise,representative,2100,1700,2017-04-20T21:24:28Z,/places/265897/osm-location,265897,38.7335902,"38.7335902,0.2303287",0.2303287,M,modern,"1700.0,2100.0",OSM location,0c91718aeced44915cb8bd7cec01da9a,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-1.313677, 37.599034, -1.313677, 37.599034",2011-03-10T00:07:49Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-1.313677, 37.599034]}",darmc-location-20263,precise,representative,300,-30,2012-02-14T22:51:11Z,/places/265898/darmc-location-20263,265898,37.599034,"37.599034,-1.313677",-1.313677,R,roman,"-30.0,300.0",DARMC location 20263,8ec2c1f38c4b6917d8e49b1fc52ba522,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-1.143263, 38.208848, -1.143263, 38.208848",2011-03-10T00:17:10Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-1.143263, 38.208848]}",darmc-location-20565,precise,representative,300,-330,2012-02-14T22:51:12Z,/places/265899/darmc-location-20565,265899,38.208848,"38.208848,-1.143263",-1.143263,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 20565,35e95a9beced8dfb0066c923a217c0a6,Water Source,Africa,Algeria,,,400,166,72
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.047757, 37.727146, -3.047757, 37.727146",2011-03-10T00:08:02Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.047757, 37.727146]}",darmc-location-20268,precise,representative,640,-30,2012-02-14T22:51:13Z,/places/265900/darmc-location-20268,265900,37.727146,"37.727146,-3.047757",-3.047757,RL,"roman,late-antique","-30.0,640.0",DARMC location 20268,130cbd897c765d388c21e5f0912cfcab,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-2.339264, 40.448617, -2.339264, 40.448617",2011-03-10T00:20:57Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-2.339264, 40.448617]}",darmc-location-20876,precise,representative,640,300,2012-02-14T22:51:13Z,/places/265901/darmc-location-20876,265901,40.448617,"40.448617,-2.339264",-2.339264,L,late-antique,"300.0,640.0",DARMC location 20876,f5fdb68eb0b32a21910949ab75f6d17e,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.275718, 38.182964, -3.275718, 38.182964",2011-03-10T00:21:00Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.275718, 38.182964]}",darmc-location-20877,precise,representative,640,300,2012-02-14T22:51:14Z,/places/265902/darmc-location-20877,265902,38.182964,"38.182964,-3.275718",-3.275718,L,late-antique,"300.0,640.0",DARMC location 20877,a47f9f8f11ae03b0067334d002081433,Landform,Africa,Egypt,,,400,166,72
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.425933, 37.474391, -4.425933, 37.474391",2011-03-10T00:21:02Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.425933, 37.474391]}",darmc-location-20878,precise,representative,640,-30,2012-02-14T22:51:15Z,/places/265903/darmc-location-20878,265903,37.474391,"37.474391,-4.425933",-4.425933,RL,"roman,late-antique","-30.0,640.0",DARMC location 20878,26a5e432a2575234538a20a2dd050e6b,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.483153, 38.122254, -3.483153, 38.122254",2011-03-10T00:08:34Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.483153, 38.122254]}",darmc-location-20287,precise,representative,300,-330,2012-02-14T22:51:15Z,/places/265905/darmc-location-20287,265905,38.122254,"38.122254,-3.483153",-3.483153,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 20287,e17337cb6ef5c0aee1353995579aae44,Landform,Asia,Iran,,,400,412,149
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","3.050936, 39.339079, 3.050936, 39.339079",2011-08-02T21:13:23Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [3.050936, 39.339079]}",darmc-location-30293,precise,representative,300,-30,2012-02-14T22:51:16Z,/places/265906/darmc-location-30293,265906,39.339079,"39.339079,3.050936",3.050936,R,roman,"-30.0,300.0",DARMC location 30293,350a2af5e458ba9d356f3dd4b3c41e3f,Landform,Asia,Iran,,,400,412,149
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.605316, 37.128828, -3.605316, 37.128828",2011-03-09T23:39:59Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.605316, 37.128828]}",darmc-location-19508,precise,representative,300,-330,2012-02-14T22:51:18Z,/places/265914/darmc-location-19508,265914,37.128828,"37.128828,-3.605316",-3.605316,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 19508,c29e08f9f5038a571b01b7b05536e58d,Landform,Asia,Iran,,,400,412,149
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","3.839243, 40.002343, 3.839243, 40.002343",2011-08-02T20:13:48Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [3.839243, 40.002343]}",darmc-location-29780,precise,representative,640,-330,2012-02-14T22:51:19Z,/places/265916/darmc-location-29780,265916,40.002343,"40.002343,3.839243",3.839243,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 29780,38c883672d6b7b201ba1fb8bd2380cab,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-1.0, 38.0, 0.0, 39.0",2010-09-24T19:03:08Z,P.O. Spann,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-1.0, 38.0], [-1.0, 39.0], [0.0, 39.0], [0.0, 38.0], [-1.0, 38.0]]]}",batlas-location,rough,representative,640,-30,2012-02-14T22:51:20Z,/places/265917/batlas-location,265917,38.5,"38.5,-0.5",-0.5,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,d4649757553480636ac62e49d280699b,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.425943, 37.474155, -4.425943, 37.474155",2011-03-10T00:09:22Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.425943, 37.474155]}",darmc-location-20316,precise,representative,640,-30,2012-02-14T22:51:21Z,/places/265919/darmc-location-20316,265919,37.474155,"37.474155,-4.425943",-4.425943,RL,"roman,late-antique","-30.0,640.0",DARMC location 20316,3b4339ee1268e1e347d8047cca502d0e,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","0.073556, 40.231686, 0.073556, 40.231686",2011-03-10T00:09:27Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [0.073556, 40.231686]}",darmc-location-20318,precise,representative,640,-330,2012-02-14T22:51:22Z,/places/265920/darmc-location-20318,265920,40.231686,"40.231686,0.073556",0.073556,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 20318,47563213d09526389ca63ae367827e4b,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-1.606091, 38.476254, -1.606091, 38.476254",2011-03-10T00:09:46Z,P.O. Spann,1,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,"{""type"": ""Point"", ""coordinates"": [-1.606091, 38.476254]}",darmc-location-20327,precise,representative,640,-550,2018-05-09T20:03:11Z,/places/265928/darmc-location-20327,265928,38.476254,"38.476254,-1.606091",-1.606091,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",DARMC location 20327,5c8ea689d51e9879901ed49d3714221a,Landform,Unlocated,Unlocated,,209138,400,,
"Vanderbilt, S.","-4.3084564, 37.5966266, -4.3084564, 37.5966266",2018-09-30T15:53:27Z,sarcanon,1,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [-4.3084564, 37.5966266]}",osm-location-of-cerro-de-minguillar,precise,representative,300,-30,2018-10-04T10:58:44Z,/places/265936/osm-location-of-cerro-de-minguillar,265936,37.5966266,"37.5966266,-4.3084564",-4.3084564,R,roman,"-30.0,300.0",OSM location of Cerro de Minguillar,9695506d77d6430e882fc3778f79d8d8,Landform,Unlocated,Unlocated,,"423,025,622,606,468",400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.39041, 37.67242, -4.39041, 37.67242",2011-03-10T00:10:03Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.39041, 37.67242]}",darmc-location-20339,precise,representative,300,-330,2012-02-14T22:51:36Z,/places/265937/darmc-location-20339,265937,37.67242,"37.67242,-4.39041",-4.39041,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 20339,8ab592bd2b782e0653eab390bddedb92,Landform,Unlocated,Unlocated,,,400,,
"Becker, J.","-1.3275218, 38.4353536, -1.3275218, 38.4353536",2019-05-04T00:02:59Z,jbecker,1,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [-1.3275218, 38.4353536]}",osm-location-of-coimbra,precise,representative,640,-330,2020-07-09T18:53:20Z,/places/265943/osm-location-of-coimbra,265943,38.4353536,"38.4353536,-1.3275218",-1.3275218,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",OSM location of Coimbra,6f55fd4e55f84e709ca16aab7bfcee51,Landform,Europe,France,,,400,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.612398, 37.786162, -3.612398, 37.786162",2011-03-10T00:22:32Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.612398, 37.786162]}",darmc-location-20961,precise,representative,640,-30,2012-02-14T22:51:42Z,/places/265948/darmc-location-20961,265948,37.786162,"37.786162,-3.612398",-3.612398,RL,"roman,late-antique","-30.0,640.0",DARMC location 20961,cd62ef7920049df7be8f0a43f9d07833,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-2.353783, 38.94902, -2.353783, 38.94902",2011-03-10T00:12:39Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-2.353783, 38.94902]}",darmc-location-20433,precise,representative,640,-330,2012-02-14T22:51:43Z,/places/265949/darmc-location-20433,265949,38.94902,"38.94902,-2.353783",-2.353783,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 20433,91e1ea9d18f41cd9ba8407c5a2c19862,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.636489, 38.093632, -3.636489, 38.093632",2011-03-09T23:42:16Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.636489, 38.093632]}",darmc-location-19566,precise,representative,640,-330,2012-02-14T22:51:44Z,/places/265950/darmc-location-19566,265950,38.093632,"38.093632,-3.636489",-3.636489,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 19566,21cfa60ea0104251bf1f6d4b040a337f,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-2.0, 40.0, -1.0, 41.0",2010-09-24T19:03:57Z,P.O. Spann,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-2.0, 40.0], [-2.0, 41.0], [-1.0, 41.0], [-1.0, 40.0], [-2.0, 40.0]]]}",batlas-location,rough,representative,300,-30,2012-02-14T22:51:45Z,/places/265951/batlas-location,265951,40.5,"40.5,-1.5",-1.5,R,roman,"-30.0,300.0",Barrington Atlas location,85bd928bc80f43f0f4806f52b92ee5c4,Landform,Unlocated,Unlocated,149496,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-1.581155, 37.403784, -1.581155, 37.403784",2011-03-09T23:52:17Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-1.581155, 37.403784]}",darmc-location-19810,precise,representative,-30,-330,2012-02-14T22:51:46Z,/places/265952/darmc-location-19810,265952,37.403784,"37.403784,-1.581155",-1.581155,H,hellenistic-republican,"-330.0,-30.0",DARMC location 19810,82095f141ccc4661d9b108563c9cc132,Water Source,Europe,France,,,400,1523,535
"MartÃ­nez JimÃ©nez, J., J. Becker","-0.4404735, 38.3636205, -0.4372256, 38.3658637",2019-01-06T16:45:03Z,jmartinez,1,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[-0.4388846, 38.3636205], [-0.4393852, 38.3637426], [-0.4404735, 38.3641036], [-0.4399899, 38.3649384], [-0.4394818, 38.3653153], [-0.4386488, 38.3658193], [-0.4383746, 38.3658637], [-0.4379784, 38.365669], [-0.4372739, 38.364446], [-0.4372256, 38.3642725], [-0.438041, 38.3638277], [-0.4388484, 38.3636205], [-0.4388846, 38.3636205]]]}",osm-location-of-ciudad-ibero-romana-de-lucentum,precise,representative,300,-330,2019-01-06T16:51:28Z,/places/265954/osm-location-of-ciudad-ibero-romana-de-lucentum,265954,38.36461817,"38.3646181732,-0.438803462827",-0.438803463,HR,"hellenistic-republican,roman","-330.0,300.0",OSM location of Ciudad Ibero Romana de Lucentum,8a492c29f918497fa40e0c639c7cb951,Water Source,Europe,France,,,400,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.276541, 37.559338, -4.276541, 37.559338",2011-08-02T20:32:29Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.276541, 37.559338]}",darmc-location-29524,precise,representative,300,-330,2012-02-14T22:51:48Z,/places/265955/darmc-location-29524,265955,37.559338,"37.559338,-4.276541",-4.276541,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 29524,43bdc2c25127290b74395eefdd2e2d20,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.100678, 36.77864, -4.100678, 36.77864",2011-03-10T00:13:22Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.100678, 36.77864]}",darmc-location-20458,precise,representative,640,-550,2012-02-14T22:51:50Z,/places/265959/darmc-location-20458,265959,36.77864,"36.77864,-4.100678",-4.100678,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",DARMC location 20458,58d4150c324addbe8cc86cd54487a869,Water Source,Europe,France,,"148,168,834,876,934",400,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","4.264116, 39.889482, 4.264116, 39.889482",2011-08-02T20:18:24Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [4.264116, 39.889482]}",darmc-location-30460,precise,representative,640,-330,2012-02-14T22:51:52Z,/places/265960/darmc-location-30460,265960,39.889482,"39.889482,4.264116",4.264116,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 30460,ba1ab40d525130d9ebddfa406ced7094,Water Source,Europe,Albania,,148738,400,1523,535
"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-5.0, 36.0, -4.0, 37.0",2010-09-24T19:04:16Z,P.O. Spann,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-5.0, 36.0], [-5.0, 37.0], [-4.0, 37.0], [-4.0, 36.0], [-5.0, 36.0]]]}",batlas-location,rough,representative,300,-30,2017-10-27T20:21:17Z,/places/265964/batlas-location,265964,36.5,"36.5,-4.5",-4.5,R,roman,"-30.0,300.0",Barrington Atlas location,d8ef58a18323efc41ad961446ac8a249,Water Source,Europe,France,,,400,1523,535
"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-5.0, 38.0, -4.0, 39.0",2010-09-24T19:04:20Z,P.O. Spann,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-5.0, 38.0], [-5.0, 39.0], [-4.0, 39.0], [-4.0, 38.0], [-5.0, 38.0]]]}",batlas-location,rough,representative,300,-330,2012-02-14T22:51:56Z,/places/265966/batlas-location,265966,38.5,"38.5,-4.5",-4.5,HR,"hellenistic-republican,roman","-330.0,300.0",Barrington Atlas location,c179abf921607cbc5484401a673de320,Landform,Europe,Greece,,,400,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-4.602629, 37.595765, -4.602629, 37.595765",2011-03-09T23:52:35Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-4.602629, 37.595765]}",darmc-location-19817,precise,representative,300,-30,2012-02-14T22:51:57Z,/places/265967/darmc-location-19817,265967,37.595765,"37.595765,-4.602629",-4.602629,R,roman,"-30.0,300.0",DARMC location 19817,ebb02882e03b187e794270c403e5687c,Water Source,Europe,France,,,400,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-2.694845, 38.692191, -2.694845, 38.692191",2011-03-10T00:14:03Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-2.694845, 38.692191]}",darmc-location-20482,precise,representative,300,-330,2012-02-14T22:51:58Z,/places/265969/darmc-location-20482,265969,38.692191,"38.692191,-2.694845",-2.694845,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 20482,769f8c28c7a8281c96c6da1cc93981f8,Water Source,Unlocated,Unlocated,,,400,,
