description,featureType,locationPrecision,locationType,TypesOfFeature,country,noOfFeaturesBuiltByHuman,natureFeatures,continent,eras,deltaAge,reprLat,reprLong,minDate,maxDate
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,38.026033,-4.381896,-330,640
Location based on OpenStreetMap,settlement,precise,representative,Landform,Unlocated,,,Europe,Classical Era,630,40.0787678,0.1354228,-330,300
Location based on OpenStreetMap,"villa,",precise,representative,Landform,Algeria,166,72,Europe,Classical Era,330,36.7266472,-3.9576942,-30,300
Representative location based on OpenStreetMap,cape,precise,representative,Water Source,Unlocated,,,Europe,Early Modern Era,400,38.7335902,0.2303287,1700,2100
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,330,37.599034,-1.313677,-30,300
1M scale point location,unknown,precise,representative,Water Source,Algeria,166,72,Europe,Classical Era,630,38.208848,-1.143263,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,670,37.727146,-3.047757,-30,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,340,40.448617,-2.339264,300,640
1M scale point location,unknown,precise,representative,Landform,Egypt,166,72,Europe,Classical Era,340,38.182964,-3.275718,300,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.474391,-4.425933,-30,640
1M scale point location,unknown,precise,representative,Landform,Iran,412,149,Europe,Classical Era,630,38.122254,-3.483153,-330,300
1M scale point location,unknown,precise,representative,Landform,Iran,412,149,Europe,Classical Era,330,39.339079,3.050936,-30,300
1M scale point location,unknown,precise,representative,Landform,Iran,412,149,Europe,Classical Era,630,37.128828,-3.605316,-330,300
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,970,40.002343,3.839243,-330,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,38.5,-0.5,-30,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.474155,-4.425943,-30,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,970,40.231686,0.073556,-330,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,970,37.176484,-3.597934,-330,640
Coordinates following GeoNames,water-open,precise,representative,Small comunities,Unlocated,,,Europe,Modern Era ,99,38.3,-0.45,2000,2099
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,37.968343,-3.80883,-330,640
1M scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,38.184959,-0.614465,-30,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,1190,38.476254,-1.606091,-550,640
1M scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,38.247458,-3.206444,-330,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,330,37.267154,-3.767231,-30,300
1M scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,39.440732,-1.749431,-30,640
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,37.443593,-4.273434,-30,300
Representative location based on OpenStreetMap.,settlement,precise,representative,Landform,Unlocated,,,Europe,Classical Era,330,37.5966266,-4.3084564,-30,300
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,630,37.67242,-4.39041,-330,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Forts,Unlocated,,,Europe,Classical Era,630,37.755932,-4.377602,-330,300
1M scale point location,unknown,precise,representative,Small comunities,France,1523,535,Europe,Classical Era,670,38.026896,-3.983804,-30,640
"Representative point location, village precision",settlement,precise,representative,Cultural Construction,France,1523,535,Europe,Classical Era,670,38.033538,-4.061071,-30,640
1M scale point location,unknown,precise,representative,Small comunities,France,1523,535,Europe,Classical Era,970,38.475704,-1.322204,-330,640
Representative location based on OpenStreetMap.,settlement,precise,representative,Landform,France,1523,535,Europe,Classical Era,970,38.4353536,-1.3275218,-330,640
1M scale point location,unknown,precise,representative,Small comunities,France,1523,535,Europe,Classical Era,630,37.540948,-4.373006,-330,300
1M scale point location,unknown,precise,representative,Small comunities,France,1523,535,Europe,Classical Era,970,38.899451,-3.053453,-330,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.786162,-3.612398,-30,640
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,38.94902,-2.353783,-330,640
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,38.093632,-3.636489,-330,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,330,40.5,-1.5,-30,300
1M scale point location,unknown,precise,representative,Water Source,France,1523,535,Europe,Classical Era,300,37.403784,-1.581155,-330,-30
Representative location based on OpenStreetMap.,settlement,precise,representative,Water Source,France,1523,535,Europe,Classical Era,630,38.36461817,-0.438803463,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,630,37.559338,-4.276541,-330,300
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,37.332285,-2.304901,-330,300
1M scale point location,unknown,precise,representative,Water Source,France,1523,535,Europe,Classical Era,1190,36.77864,-4.100678,-550,640
1M scale point location,unknown,precise,representative,Water Source,Albania,1523,535,Europe,Classical Era,970,39.889482,4.264116,-330,640
,unknown,rough,representative,Water Source,France,1523,535,Europe,Classical Era,330,36.5,-4.5,-30,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Artefacts,France,1523,535,Europe,Classical Era,670,38.547361,-2.92748,-30,640
,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,630,38.5,-4.5,-330,300
1M scale point location,unknown,precise,representative,Water Source,France,1523,535,Europe,Classical Era,330,37.595765,-4.602629,-30,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,630,38.692191,-2.694845,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,37.741633,-3.692715,-330,640
1M scale point location,unknown,precise,representative,Landform,France,1523,535,Europe,Classical Era,630,38.155628,-4.052078,-330,300
1M scale point location,unknown,precise,representative,Small comunities,Italy,1523,535,Europe,Classical Era,330,37.473348,-4.581713,-30,300
1M scale point location,unknown,precise,representative,Landform,Egypt,166,72,Europe,Classical Era,630,37.350654,-4.601944,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,630,36.775074,-2.812733,-330,300
1M scale point location,unknown,precise,representative,Water Source,Iran,412,149,Europe,Classical Era,330,39.98188,-2.86232,-30,300
,unknown,rough,representative,Small comunities,Iran,412,149,Europe,Classical Era,300,39.5,-4.5,-330,-30
1M scale point location,unknown,precise,representative,Small comunities,Iran,412,149,Europe,Classical Era,630,37.953182,-4.496471,-330,300
,unknown,rough,representative,Small comunities,Iran,412,149,Europe,Classical Era,330,38.5,-3.5,-30,300
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,630,38.5,-3.5,-330,300
Representative location based on OpenStreetMap,"settlement,",precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,38.7606439,-3.7256823,-330,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,630,37.5,-2.5,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,670,37.848915,-3.560303,-30,640
Representative location based on OpenStreetMap,villa,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.8858685,-3.0794566,-30,640
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,39.389921,-3.210143,-30,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,"Water Source,Landform",Unlocated,,,Europe,Classical Era,970,39.569443,2.649993,-330,640
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,38.962484,-2.008396,-330,300
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.293649,-3.168573,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,630,38.5,0.5,-330,300
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,37.56834,-4.471493,-330,300
Representative location based on OpenStreetMap.,settlement,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,39.84859314,3.123058901,-30,640
1M scale point location,unknown,precise,representative,Small comunities,Libya,166,72,Europe,Classical Era,330,36.840205,-2.467902,-30,300
1M scale point location,unknown,precise,representative,Small comunities,France,1523,535,Europe,Classical Era,340,39.165103,-0.255923,300,640
1M scale point location,unknown,precise,representative,Small comunities,Algeria,166,72,Europe,Classical Era,630,37.95069,-3.540398,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,670,38.618079,-2.806268,-30,640
Representative location based on OpenStreetMap,villa,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.8329431,-0.14602,-30,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,630,37.431584,-2.686169,-330,300
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,38.088325,-0.724242,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,330,40.189944,-0.651476,-30,300
Representative location based on OpenStreetMap.,villa,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.4430896,-4.0896184,-30,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,630,38.005797,-4.50716,-330,300
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,970,38.988847,-0.515639,-330,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,38.5,-0.5,-30,300
1M scale point location,unknown,precise,representative,Water Source,France,1523,535,Europe,Classical Era,670,39.680194,-0.278581,-30,640
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,1190,39.680031,-0.278608,-550,640
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,1190,39.676219,-0.275887,-550,640
1M scale point location,unknown,precise,representative,Small comunities,Italy,1523,535,Europe,Classical Era,630,38.008075,-3.368532,-330,300
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,330,38.866536,-1.920214,-30,300
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,970,38.918645,-1.722773,-330,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,970,40.071126,4.087751,-330,640
Point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,340,40.370824,-1.47893,300,640
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,330,38.028219,-3.10185,-30,300
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,330,37.5,-0.5,-30,300
,unknown,rough,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,37.5,-0.5,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,39.959582,-0.138097,-330,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,38.239102,-1.418729,-330,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,970,39.885321,-2.81302,-330,640
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,330,36.74623,-3.587137,-30,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Unlocated,,,Europe,The Iron Age,1390,36.734589,-3.690755,-750,640
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,36.835734,-2.762919,-330,300
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,37.228764,-3.726138,-330,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,970,38.645383,-4.517906,-330,640
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,38.646441,-4.518296,-330,640
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.960815,-4.192941,-30,640
Location based on OpenStreetMap,"mountain,",precise,representative,Water Source,Italy,1523,535,Europe,Early Modern Era,400,37.0533806,-3.3115572,1700,2100
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,330,38.5,-0.5,-30,300
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,330,37.591059,-4.086746,-30,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,340,37.251478,-3.751039,300,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,970,38.074265,-4.186553,-330,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,39.150204,-0.43809,-330,300
Location based on OpenStreetMap,"river,",precise,representative,Water Source,Italy,1523,535,Europe,Early Modern Era,400,40.1254751,-2.1338651,1700,2100
,unknown,rough,representative,Water Source,Italy,1523,535,Europe,Classical Era,330,39.5,-0.5,-30,300
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,The Iron Age,1390,36.525435,-4.628919,-750,640
Location based on OpenStreetMap,"river,",precise,representative,Water Source,Italy,1523,535,Europe,Early Modern Era,400,38.0497059,-1.004818,1700,2100
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,37.345474,-2.439482,-330,300
,unknown,rough,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,40.5,-3.5,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,39.893965,-4.546133,-330,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Yemen,412,149,Europe,Classical Era,970,37.878103,-0.765831,-330,640
1M scale point location,unknown,precise,representative,Landform,Italy,1523,535,Europe,Classical Era,670,39.982154,-4.126973,-30,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,970,39.85668,-4.024491,-330,640
1M scale point location,unknown,precise,representative,Landform,Italy,1523,535,Europe,Classical Era,670,38.508037,-0.232796,-30,640
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,670,38.604818,-1.112048,-30,640
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,630,37.771263,-1.501013,-330,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Italy,1523,535,Europe,Classical Era,970,37.722761,-3.966243,-330,640
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,670,39.568749,3.21062,-30,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,1190,37.877689,-3.152365,-550,640
,unknown,rough,representative,Landform,Saudi Arabia,412,149,Europe,Classical Era,630,37.5,-2.5,-330,300
Location based on OpenStreetMap,"settlement,",precise,representative,Landform,Unlocated,,,Europe,Classical Era,330,36.7920128,-2.587019,-30,300
,unknown,rough,representative,Landform,Italy,1523,535,Europe,Classical Era,970,37.5,-4.5,-330,640
Location based on OpenStreetMap,"river,",precise,representative,Water Source,Central African Republic,166,72,Europe,Early Modern Era,400,40.4051232,-1.7309516,1700,2100
1M scale point location,unknown,precise,representative,Landform,Italy,1523,535,Europe,The Iron Age,1390,37.742896,-2.551194,-750,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,630,37.682102,-4.552369,-330,300
Location based on OpenStreetMap,river,precise,representative,Water Source,Unlocated,,,Europe,Modern Era ,99,39.71647998,-0.321384315,2000,2099
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,970,36.913021,-2.450598,-330,640
,unknown,rough,representative,Water Source,Italy,1523,535,Europe,Classical Era,330,36.5,-2.5,-30,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,970,37.93645,-4.054925,-330,640
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Yemen,412,149,Europe,Classical Era,970,39.470371,-0.376813,-330,640
1M scale point location,unknown,precise,representative,Small comunities,Saudi Arabia,412,149,Europe,Classical Era,670,37.932152,-4.673019,-30,640
1M scale point location,unknown,precise,representative,Water Source,Yemen,412,149,Europe,Classical Era,970,39.809156,-2.151217,-330,640
"Representative point location, site precision",settlement,precise,representative,Water Source,Yemen,412,149,Europe,Classical Era,970,39.813222,-2.147484,-330,640
1M scale point location,unknown,precise,representative,Water Source,Yemen,412,149,Europe,Classical Era,670,37.626929,-3.538666,-30,640
1M scale point location,unknown,precise,representative,Landform,Ethiopia,166,72,Europe,Classical Era,670,39.960387,-3.499679,-30,640
1M scale point location,unknown,precise,representative,Water Source,Italy,1523,535,Europe,Classical Era,670,39.590148,-0.302075,-30,640
1M scale point location,unknown,precise,representative,Water Source,Yemen,412,149,Europe,Classical Era,330,38.48772,-2.636366,-30,300
Location based on OpenStreetMap,"station,",precise,representative,Water Source,Unlocated,,,Europe,Classical Era,330,37.6282633,-3.5380913,-30,300
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,37.5,-3.5,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.5,-4.5,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.5,-3.5,-30,640
,unknown,rough,representative,Water Source,Greece,1523,535,Europe,Classical Era,670,37.5,-3.5,-30,640
Location based on OpenStreetMap,"aqueduct,",precise,representative,Water Source,Turkey,412,149,Europe,Classical Era,330,36.762144,-3.689824,-30,300
,unknown,rough,representative,Water Source,Turkey,412,149,Europe,Classical Era,670,39.5,-2.5,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,36.5,-2.5,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.5,-1.5,-30,640
,unknown,rough,representative,Water Source,Greece,1523,535,Europe,Classical Era,970,39.5,-0.5,-330,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-0.5,-30,640
,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,38.5,1.5,-30,640
Representative location based on OpenStreetMap.,bridge,precise,representative,Landform,Unlocated,,,Europe,Classical Era,330,38.0330123,-4.0614776,-30,300
,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,37.5,-4.5,-30,640
,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,37.5,-4.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.5,-4.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.5,-4.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.5,-4.5,-30,640
500K scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,39.726715,-3.929833,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.5,-3.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.5,-3.5,-30,640
,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,39.5,-2.5,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,39.5,-2.5,-30,640
Representative location based on OpenStreetMap,bridge,precise,representative,Water Source,Turkey,412,149,Europe,Classical Era,330,38.279861,-2.9638124,-30,300
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-2.5,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,37.929107,-2.952102,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,39.5,-4.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,970,39.5,-0.5,-330,640
,unknown,rough,representative,Small comunities,Greece,1523,535,Europe,Classical Era,300,39.5,-0.5,-330,-30
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,40.054791,-4.73837,-30,640
,unknown,rough,representative,Water Source,Greece,1523,535,Europe,Classical Era,670,39.5,-4.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,39.5,-4.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,39.5,-4.5,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.5,-3.5,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,39.5,-3.5,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.5,-3.5,-30,640
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,670,37.269319,-3.742219,-30,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,970,39.5,-0.5,-330,640
,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,300,39.5,-0.5,-330,-30
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Water Source,Greece,1523,535,Europe,Classical Era,970,38.5,-1,-330,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,970,38.5,-1,-330,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,630,38.5,-1,-330,300
Roughly located within a bounding box,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,970,38.5,-1,-330,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Cyprus,1523,535,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Greece,1523,535,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,670,38.5,-1,-30,640
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,630,38.5,-1,-330,300
Roughly located within a bounding box,unknown,rough,representative,Landform,Unlocated,,,Europe,Classical Era,630,38.5,-1,-330,300
