authors,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,featureTypes,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Becker, J.","-4.7684834, 32.7914841, -4.7684834, 32.7914841",jbecker,Representative point derived from an OpenStreetMap way.,"river,","{""type"": ""Point"", ""coordinates"": [-4.7684834, 32.7914841]}",osm-location-upstream,precise,representative,2100,1700,32.7914841,"32.7914841,-4.7684834",-4.7684834,,M,modern,"1700.0,2100.0",OSM location: upstream section,river,,river,Oued MÃ©lah/Rio Salado,,400,"river,"
"Becker, J.","-1.4248329, 35.2516991, -1.4248329, 35.2516991",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-1.4248329, 35.2516991]}",location-of-Siga-fl,precise,representative,2100,1700,35.2516991,"35.2516991,-1.4248329",-1.4248329,,M,modern,"1700.0,2100.0",location of Oued Tafna,river,,aqueduct,near Siga,,400,"river,"
"Becker, J.","3.2311184, 36.5780819, 3.3549743, 36.7781566",jbecker,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[3.3183084, 36.5780819], [3.2406653, 36.7164625], [3.2405344, 36.7168377], [3.2404384, 36.7173861], [3.2311184, 36.7781566], [3.2457918, 36.7773074], [3.2461866, 36.7771974], [3.2464098, 36.7770599], [3.2467016, 36.7768536], [3.247002, 36.7766336], [3.2472252, 36.7763861], [3.2475428, 36.7760218], [3.3476701, 36.6494305], [3.3512836, 36.635037], [3.3549743, 36.6168036], [3.3521703, 36.6046888], [3.328651, 36.5814118], [3.3183084, 36.5780819]]]}",osm-location-of-oued-el-hamiz,precise,representative,2099,2000,36.67854943,"36.6785494279,3.29196679275",3.291966793,,T,twenty-first-ce,"2000.0,2099.0",OSM location of Oued El Hamiz,river,,villa,"ThÃ©nia, S MÃ©nerville",,99,"river,"
"Gillies, S., J. Becker","3.444167, 43.2825, 3.444167, 43.2825",sgillies,Coordinates after GeoHack.,"river,","{""type"": ""Point"", ""coordinates"": [3.444167, 43.2825]}",mouth-of-river,precise,representative,2100,1700,43.2825,"43.2825,3.444167",3.444167,,M,modern,"1700.0,2100.0",Mouth of Arauris fl.,river,,villa,Clos-de-lâ€™Armet,,400,"river,"
"Becker, J.","3.4983021, 43.6022739, 3.4983021, 43.6022739",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [3.4983021, 43.6022739]}",location-of-Arauris-fl,precise,representative,2100,1700,43.6022739,"43.6022739,3.4983021",3.4983021,,M,modern,"1700.0,2100.0",location of Arauris fl.,river,,villa,"Clos de Serre, Caumont-sur-Durance",,400,"river,"
"Becker, J.","5.2016739, 43.7390439, 5.2016739, 43.7390439",jbecker,Location based on OpenStreetMap,river,"{""type"": ""Point"", ""coordinates"": [5.2016739, 43.7390439]}",location-of-Druentia-fl,precise,representative,2100,1700,43.7390439,"43.7390439,5.2016739",5.2016739,,M,modern,"1700.0,2100.0",OSM location of Druentia fl.,river,,settlement,Montfau,,400,"river,"
"Becker, J.","4.737541, 43.6588641, 6.724963, 44.9283213",jbecker,Representative location based on OpenStreetMap.,river,"{""type"": ""Polygon"", ""coordinates"": [[[5.597445, 43.6588641], [5.529267, 43.660773], [5.512602, 43.6626975], [5.4942467, 43.666015], [5.1786485, 43.7352991], [5.1117231, 43.7595488], [4.737541, 43.9226408], [6.6795097, 44.924672], [6.7132102, 44.9283213], [6.7138493, 44.9283076], [6.7143568, 44.9282953], [6.7145466, 44.9282764], [6.7154863, 44.928105], [6.717492, 44.927577], [6.7175603, 44.9275492], [6.7177769, 44.9273814], [6.7224472, 44.9209313], [6.7248592, 44.9165504], [6.7249555, 44.9156713], [6.724963, 44.9153381], [6.7237132, 44.8974958], [6.605458, 44.6696786], [6.6051332, 44.6692387], [6.5945476, 44.6565174], [6.5128707, 44.5612919], [5.8095664, 43.7786375], [5.8093615, 43.7784341], [5.8042967, 43.7735323], [5.7238349, 43.6976119], [5.7233772, 43.6972843], [5.711333, 43.689681], [5.7110488, 43.6895059], [5.6096028, 43.6607207], [5.6042587, 43.6594555], [5.6035726, 43.6593087], [5.601902, 43.6590454], [5.6007445, 43.6589203], [5.5994676, 43.6588685], [5.597445, 43.6588641]]]}",osm-location-of-la-durance,precise,representative,2099,2000,44.16514236,"44.1651423561,5.86142959452",5.861429595,,T,twenty-first-ce,"2000.0,2099.0",OSM location of  La Durance,river,,settlement,Murviel-lÃ¨s-Montpellier,,99,"river,"
"Becker, J.","3.8443125, 43.7180443, 3.8443125, 43.7180443",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [3.8443125, 43.7180443]}",location-of-Ledus-fl,precise,representative,2100,1700,43.7180443,"43.7180443,3.8443125",3.8443125,,M,modern,"1700.0,2100.0",location of Ledus fl.,river,,mine-2,St-Bresson,,400,"river,"
"Becker, J.","2.9657359, 43.2466981, 3.3130242, 43.8296008",jbecker,Representative location based on OpenStreetMap.,river,"{""type"": ""Polygon"", ""coordinates"": [[[3.2982197, 43.2466981], [3.0307003, 43.4551686], [2.9866211, 43.5047168], [2.9850956, 43.5066914], [2.9657675, 43.5394785], [2.9657359, 43.5400512], [2.9704363, 43.5616005], [3.0862303, 43.7883292], [3.0907503, 43.795465], [3.0910406, 43.7957066], [3.0947988, 43.7976913], [3.0998281, 43.80014], [3.1007997, 43.8005332], [3.1011424, 43.8006491], [3.1564478, 43.8172716], [3.2441823, 43.8291945], [3.2484577, 43.8296008], [3.3122461, 43.278741], [3.3130242, 43.2677834], [3.3129432, 43.2667693], [3.3120014, 43.264943], [3.3098631, 43.2620287], [3.2982197, 43.2466981]]]}",osm-location-of-lorb-river,precise,representative,2100,1700,43.56586848,"43.5658684829,3.11972451794",3.119724518,,M,modern,"1700.0,2100.0",OSM location of L'Orb (river),river,"148,168,834,876,934",settlement,Beaucaire,,400,"river,"
"Becker, J.","5.0776655, 44.2374731, 5.0776655, 44.2374731",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [5.0776655, 44.2374731]}",location-of-Ovidis-fl,precise,representative,2100,1700,44.2374731,"44.2374731,5.0776655",5.0776655,,M,modern,"1700.0,2100.0",location of Ovidis fl.,river,148738,"spring, reservoir",Ure spring,,400,"river,"
"Becker, J.","4.5982055, 43.3340751, 8.3836862, 46.5789755",jbecker,Representative location of the modern river basin based on OpenStreetMap.,river,"{""type"": ""Polygon"", ""coordinates"": [[[4.843741, 43.3340751], [4.8376012, 43.3383096], [4.7539564, 43.408661], [4.7346327, 43.4274201], [4.7343548, 43.4277243], [4.6005812, 43.6468164], [4.5987486, 43.6504008], [4.5982055, 43.6531262], [4.5982217, 43.6561087], [4.6469271, 44.3512809], [4.7415779, 45.4162689], [4.7417153, 45.4173399], [4.7417679, 45.4176053], [4.7764693, 45.5870636], [4.7765666, 45.5875385], [4.7766267, 45.5877535], [4.8205959, 45.7342255], [4.840051, 45.7738527], [4.8426717, 45.7788489], [4.8433645, 45.7799417], [4.8439493, 45.7807797], [4.8445018, 45.7814082], [4.8458536, 45.7826203], [4.8471572, 45.7837651], [4.8481067, 45.7843487], [4.8493405, 45.7850707], [4.8496033, 45.7852203], [4.8509766, 45.785875], [6.2954988, 46.3843615], [6.3703574, 46.4081299], [6.3969965, 46.4146187], [6.502194, 46.4402427], [8.3833825, 46.5789755], [8.3836862, 46.5781736], [8.3810074, 46.572395], [8.3807419, 46.5718654], [8.3805636, 46.5715099], [8.3598903, 46.5384509], [8.3592133, 46.537565], [4.843741, 43.3340751]]]}",osm-location-of-rhone-river,precise,representative,2100,1700,45.4827319,"45.4827319029,5.78470758544",5.784707585,,M,modern,"1700.0,2100.0",OSM location of Rhone (river),river,,aqueduct,Col. Arelate,,400,"river,"
"Becker, J.","5.0555894, 43.920055, 5.0555894, 43.920055",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [5.0555894, 43.920055]}",location-of-Vindelicus-Soulgas-fl,precise,representative,2100,1700,43.920055,"43.920055,5.0555894",5.0555894,,M,modern,"1700.0,2100.0",location of Vindelicus/Soulgas fl.,river,,settlement,Baou-des-Noirs,,400,"river,"
"Becker, J., R. Horne","7.6063192, 43.7893147, 7.6063192, 43.7893147",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [7.6063192, 43.7893147]}",osm-location-of-la-roya,precise,,2100,1700,43.7893147,"43.7893147,7.6063192",7.6063192,,M,modern,"1700.0,2100.0",OSM location of La Roya,river,,settlement,KS933,,400,"river,"
"Becker, J.","48.6736815, 30.655448, 48.7134532, 30.7000216",jbecker,Representative location based on OpenStreetMap.,river,"{""type"": ""Polygon"", ""coordinates"": [[[48.6736815, 30.655448], [48.6883411, 30.6747744], [48.6927936, 30.6798125], [48.7134532, 30.7000216], [48.7078354, 30.6899526], [48.7074492, 30.6893806], [48.6751125, 30.6567696], [48.6736815, 30.655448]]]}",osm-location-of-jarahi-river,precise,representative,2100,1700,30.67779097,"30.6777909701,48.6937143712",48.69371437,,M,modern,"1700.0,2100.0",OSM location of Jarahi river,river,756512,temple-2,,,400,"river,"
"Becker, J.","48.1653, 30.4275, 48.1653, 30.4275",jbecker,Coordinates following GeoHack,river,"{""type"": ""Point"", ""coordinates"": [48.1653, 30.4275]}",imagery-location-of-karun-river,precise,representative,2100,1700,30.4275,"30.4275,48.1653",48.1653,,M,modern,"1700.0,2100.0",Imagery location of Karun (river),river,,"settlement, theatre",,,400,"river,"
"Becker, J.","47.5259884, 33.0958458, 47.5259884, 33.0958458",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [47.5259884, 33.0958458]}",location-of-Shaur-Choaspes-Eulaeus-Uknu-fl,precise,representative,2100,1700,33.0958458,"33.0958458,47.5259884",47.5259884,,M,modern,"1700.0,2100.0",location of Shaur/Choaspes?/Eulaeus?/Uknu? fl.,river,481818,amphitheatre,,,400,"river,"
"Becker, J.","9.881667, 45.134444, 9.881667, 45.134444",jbecker,coordinates after GeoHack.,"river,","{""type"": ""Point"", ""coordinates"": [9.881667, 45.134444]}",location-of-addua-fl,precise,representative,2100,1700,45.134444,"45.134444,9.881667",9.881667,,M,modern,"1700.0,2100.0",location of Addua fl.,river,,station,between Crescentino and Palazzolo Vercellese,,400,"river,"
"Becker, J.","8.9, 45.066667, 8.9, 45.066667",jbecker,"coordinates after GeoHack, verified in Google Earth.","river,","{""type"": ""Point"", ""coordinates"": [8.9, 45.066667]}",location-of-agunia-fl,precise,representative,2100,1700,45.066667,"45.066667,8.9",8.9,,M,modern,"1700.0,2100.0",location of Agunia fl.,river,393469,river,Doire Ripaire/Dora Riparia FRA/ITL,,400,"river,"
"Becker, J.","8.4807005, 45.8277536, 8.4807005, 45.8277536",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [8.4807005, 45.8277536]}",location-of-course-of-Agunia-fl,precise,representative,2100,1700,45.8277536,"45.8277536,8.4807005",8.4807005,,M,modern,"1700.0,2100.0",location of course of Agunia fl.,river,,station,Dorno,,400,"river,"
"Becker, J.","10.5725703, 45.8592703, 10.5725703, 45.8592703",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [10.5725703, 45.8592703]}",location-of-chiese-river,precise,representative,2100,1700,45.8592703,"45.8592703,10.5725703",10.5725703,,M,modern,"1700.0,2100.0",location of Chiese (river),river,"788,760,849,383,708",settlement,Mantua,385838,400,"river,"
"Becker, J.","10.4016139, 45.3402402, 10.4016139, 45.3402402",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [10.4016139, 45.3402402]}",osm-location,precise,representative,2100,1700,45.3402402,"45.3402402,10.4016139",10.4016139,,M,modern,"1700.0,2100.0",OSM location,river,,people,around Pavia,,400,"river,"
"Becker, J.","6.9613807, 45.178908, 8.0507804, 45.8087225",jbecker,Representative location based on OpenStreetMap.,river,"{""type"": ""Polygon"", ""coordinates"": [[[8.0457131, 45.178908], [6.9854582, 45.7652238], [6.9760656, 45.7721572], [6.9757249, 45.7724088], [6.9684804, 45.7792006], [6.9676412, 45.7800059], [6.9675477, 45.7802121], [6.9613897, 45.8086069], [6.9613807, 45.8087225], [7.6309004, 45.745664], [7.6404399, 45.7431003], [7.6426583, 45.7424689], [7.6430357, 45.7423605], [7.6467558, 45.7408309], [7.659148, 45.7356165], [7.660392, 45.7348954], [7.6611931, 45.7341432], [7.6612775, 45.7340639], [7.7901474, 45.5899912], [7.902037, 45.4517242], [7.9118735, 45.4376655], [7.957277, 45.3687594], [8.0504649, 45.1852571], [8.0507804, 45.1840367], [8.0479309, 45.1802532], [8.0457131, 45.178908]]]}",osm-location-of-dora-baltea,precise,representative,2100,1700,45.56286564,"45.5628656367,7.6636188828",7.663618883,,M,modern,"1700.0,2100.0",OSM location of Dora Baltea,river,393469,river,Nure,385065,400,"river,"
"Becker, J., R. Horne","6.833184, 45.0331363, 6.833184, 45.0331363",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [6.833184, 45.0331363]}",osm-location-of-dora-riparia,precise,,2100,1700,45.0331363,"45.0331363,6.833184",6.833184,,M,modern,"1700.0,2100.0",OSM location of Dora Riparia,river,393469,river,Oglio,,400,"river,"
"Becker, J., R. Horne","9.3472359, 44.3228693, 9.3472359, 44.3228693",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [9.3472359, 44.3228693]}",osm-location,precise,,2100,1700,44.3228693,"44.3228693,9.3472359",9.3472359,,M,modern,"1700.0,2100.0",OSM location of Entella (river),river,,unknown,around Sizzano,,400,"river,"
"Becker, J., R. Horne","10.7943866, 44.6492028, 10.7943866, 44.6492028",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [10.7943866, 44.6492028]}",osm-location,precise,,2100,1700,44.6492028,"44.6492028,10.7943866",10.7943866,,M,modern,"1700.0,2100.0",OSM location of Secchia,river,,settlement,Poggio di Gaggiola,,400,"river,"
"Becker, J., R. Horne","9.0529522, 44.5162468, 9.0529522, 44.5162468",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [9.0529522, 44.5162468]}",osm-location,precise,,2100,1700,44.5162468,"44.5162468,9.0529522",9.0529522,,M,modern,"1700.0,2100.0",OSM location of Scrivia river,river,,"settlement, port",Savona,,400,"river,"
"Becker, J.","9.2344017, 44.6983087, 9.2344017, 44.6983087",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [9.2344017, 44.6983087]}",location-of-Iria-fl,precise,representative,2100,1700,44.6983087,"44.6983087,9.2344017",9.2344017,,M,modern,"1700.0,2100.0",location of Iria fl.,river,,lake,L. Iseo,,400,"river,"
"Becker, J.","9.2339521, 45.8098419, 9.2339521, 45.8098419",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [9.2339521, 45.8098419]}",location-of-Lambrus-fl,precise,representative,2100,1700,45.8098419,"45.8098419,9.2339521",9.2339521,,M,modern,"1700.0,2100.0",location of Lambrus fl.,river,393469,river,Sesia,,400,"river,"
"Becker, J., R. Horne","10.2014089, 45.699041, 10.2014089, 45.699041",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [10.2014089, 45.699041]}",osm-location,precise,,2100,1700,45.699041,"45.699041,10.2014089",10.2014089,,M,modern,"1700.0,2100.0",OSM location of Fiume Mella,river,66908841,settlement,Pavia,,400,"river,"
"Becker, J.","10.7089971, 45.2747414, 10.7089971, 45.2747414",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [10.7089971, 45.2747414]}",location-of-Mincius-fl,precise,representative,2100,1700,45.2747414,"45.2747414,10.7089971",10.7089971,,M,modern,"1700.0,2100.0",location of Mincius fl.,river,383814,river,Ticino ITL/SWI,,400,"river,"
"Becker, J., R. Horne","9.9416517, 45.664553, 9.9416517, 45.664553",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [9.9416517, 45.664553]}",osm-location,precise,representative,2100,1700,45.664553,"45.664553,9.9416517",9.9416517,,M,modern,"1700.0,2100.0",OSM location of Oglio (river),river,,lake,L. Maggiore,383799,400,"river,"
"Becker, J., R. Horne","9.2289029, 45.2460734, 9.2289029, 45.2460734",jbecker,Representative location based on OpenStreetMap.,river,"{""type"": ""Point"", ""coordinates"": [9.2289029, 45.2460734]}",location-of-course-of-Olonna-fl,precise,representative,2100,1700,45.2460734,"45.2460734,9.2289029",9.2289029,,M,modern,"1700.0,2100.0",OSM location of course of Olona (river),river,,settlement,Vercelli,"383,821,497,388,377,000,000",400,"river,"
"Becker, J.","7.866667, 45.166667, 7.866667, 45.166667",jbecker,"coordinates after GeoHack, verified in Google Earth.","river,","{""type"": ""Point"", ""coordinates"": [7.866667, 45.166667]}",location-of-orgus-fl,precise,representative,2100,1700,45.166667,"45.166667,7.866667",7.866667,,M,modern,"1700.0,2100.0",location of Orgus fl.,river,"788,760,849,393,383",settlement,Verona,"64,872,899,939,176,100,000,000,000,000,000,000,000,000,000",400,"river,"
"Becker, J., T. Elliott","10.0382474, 44.4341046, 10.4454548, 44.938035",jbecker,Representative polyline location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[10.0385875, 44.4341046], [10.038419, 44.4343016], [10.0382474, 44.4350983], [10.0400069, 44.4540482], [10.0400498, 44.4545077], [10.044277, 44.4671426], [10.0483957, 44.4743064], [10.3231401, 44.917697], [10.3283922, 44.9217956], [10.3289057, 44.92209], [10.3341058, 44.9242957], [10.3344908, 44.9244421], [10.3445786, 44.9277451], [10.3451294, 44.9278619], [10.359738, 44.9305825], [10.3989506, 44.93717], [10.4003214, 44.9373851], [10.4168355, 44.938035], [10.4173348, 44.9380343], [10.4419776, 44.9357547], [10.4454268, 44.93081], [10.4454548, 44.9305917], [10.4453905, 44.9298972], [10.4451039, 44.9291725], [10.3351827, 44.6909681], [10.3338337, 44.6885116], [10.3286838, 44.6794799], [10.3267956, 44.6766724], [10.2476597, 44.5797933], [10.2447414, 44.5763696], [10.2380466, 44.5689102], [10.236845, 44.5676873], [10.0385875, 44.4341046]]]}",osm-location-of-the-parma-river,precise,representative,2100,1700,44.72247463,"44.7224746256,10.2719243918",10.27192439,,M,modern,"1700.0,2100.0",OSM Location of the Parma river,river,383642,aqueduct,Eporedia,,400,"river,"
"Becker, J.","8.9024614, 44.4976778, 8.9024614, 44.4976778",jbecker,Representative modern location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [8.9024614, 44.4976778]}",location-of-torrente-polcevera,precise,representative,2100,1700,44.4976778,"44.4976778,8.9024614",8.9024614,,M,modern,"1700.0,2100.0",OSM location of Torrente Polcevera,river,,bridge,"E Augusta Praetoria, at ChÃ¢tillon/St Vincent",,400,"river,"
"Becker, J.","9.8309463, 45.7900406, 9.8309463, 45.7900406",jbecker,Representative point derived from an OpenStreetMap way.,"river,","{""type"": ""Point"", ""coordinates"": [9.8309463, 45.7900406]}",osm-location,precise,representative,2100,1700,45.7900406,"45.7900406,9.8309463",9.8309463,,M,modern,"1700.0,2100.0",OSM location,river,383580,centuriation,Augusta Taurinorum W Rivarolo Canavese,,400,"river,"
"Becker, J.","10.0542273, 44.872498, 10.0542273, 44.872498",jbecker,Representative location based on OpenStreetMap.,"river,","{""type"": ""Point"", ""coordinates"": [10.0542273, 44.872498]}",osm-location,precise,representative,2100,1700,44.872498,"44.872498,10.0542273",10.0542273,,M,modern,"1700.0,2100.0",OSM location of Torrente Stirone,river,383745,centuriation,Pollentia,,400,"river,"
"Becker, J., T. Elliott","7.8147288, 44.1172978, 8.7801087, 45.0108751","jbecker, thomase",Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[7.8695212, 44.1172978], [7.8692357, 44.1173088], [7.8688829, 44.1173238], [7.8453738, 44.1187867], [7.8325785, 44.1199283], [7.8313651, 44.120061], [7.8222032, 44.1212523], [7.8158842, 44.1232965], [7.8147288, 44.1238963], [7.8647917, 44.6422794], [7.8649328, 44.642662], [7.8651973, 44.6431262], [7.8655675, 44.6436969], [7.8678949, 44.6460866], [7.8897314, 44.6664233], [7.9125371, 44.6846672], [8.1862312, 44.8749513], [8.2094629, 44.8841932], [8.2347872, 44.8931945], [8.2366342, 44.8937202], [8.7801087, 45.0108751], [8.0096667, 44.1907402], [7.9742604, 44.1631998], [7.9733077, 44.1625346], [7.8932288, 44.1212621], [7.8925649, 44.1209397], [7.8800784, 44.1183606], [7.8781477, 44.1180411], [7.8747325, 44.1177137], [7.8695212, 44.1172978]]]}",osm-location-of-tanaro-river,precise,representative,2100,1700,44.625441,"44.6254409974,8.14632301077",8.146323011,,M,modern,"1700.0,2100.0",OSM Location of Tanaro River,river,,centuriation,Mediolan(i)um (NE) W Monza,,400,"river,"
